Collection,Occurrence Date,Item,Price,From,To,Trade Date
,,Chromie Squiggle #3174,1.15,Art_Vandelay(0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01),(0x381636d0e4ed0fa6acf07d8fd821909fb63c0d10),2021-04-12T04:56:04.138787
,,Chromie Squiggle #3105,0.7,acc(0xa2d50deff9b7d31b6f1f85654c04c4609d08c6e2),(0x8488f78d943cf6b5e1231c5370fed186ba7a3044),2021-04-12T04:52:29.866555
,,Chromie Squiggle #3269,0.6299,AbsolutelyNobody(0xe98903c3a84e7208806f0da97af42014ef1c8a92),RantumBits(0x8f903cfc0af3c2ec0d872c57538af5e071544a57),2021-04-12T04:25:27.103286
,,Unigrids #30,3.0,paranewV1(0x97b00eebfc135baf9fbcf1daeeddab2fde75d5ce),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T04:21:09.025728
,,Unigrids #157,2.88,(0xf969293ffb9a7a54c9e813fcae79c1de9846e2d5),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T04:17:47.783453
,,Chromie Squiggle #8983,0.63,BC143L3(0xb2e714bf6b0cdde7f27316132fb612315f3faf91),digitaldill(0x0709b103d46d71458a71e5d81230dd688809a53d),2021-04-12T04:14:54.322278
,,Unigrids #152,2.69,debuddha(0x4ac9a97b3edb3f11b5ca91d8de9468cf4882a7af),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T04:11:55.271746
,,Chromie Squiggle #3451,0.68,shariq911(0x09238a2aa20600e9773990677d17fef91e688523),CousinApe(0xb14be0a9f67ef3e8bbf44cfc516ad17d186b3aa2),2021-04-12T04:02:00.971521
,,Chromie Squiggle #520,0.7,R0M4(0x8c9897c494deaa0e0b642f33770072ef5bcbf73d),large_cat(0x0428b06be02dead6750f81d0e5218118dbd1c7f8),2021-04-12T02:54:58.300814
,,Algobots #67,0.95,NFTey(0x4361feec441411d41bae7175dd00a782abc06009),0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c(0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c),2021-04-12T02:54:04.126034
,,Algobots #133,0.85,B2Ru(0x6b347a82fcac4e6a38d1fc40e3631bd8f9495e9f),0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c(0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c),2021-04-12T02:53:55.982614
,,Algobots #409,0.9,lickyluke(0x4202c5aa18c934b96bc4aedb3da4593c44076618),0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c(0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c),2021-04-12T02:53:03.999921
,,Chromie Squiggle #4698,0.695,Zonked(0xebf02c6e12c3ee119abba161c40bfeead0a06b15),(0xf84311e71e245da855f7593d89a58735ccbfcaf7),2021-04-12T02:53:04.004627
,,Algobots #77,0.7,(0x307c78f5337aa4baf69bf8adcadd6e57bb1ab9bb),0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c(0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c),2021-04-12T02:53:04.069984
,,Unigrids #258,2.5,FreakinFrick(0x29bf88e2abd51e2f3958d380ed8e8f9aadd33da7),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T02:53:03.907184
,,Chromie Squiggle #2221,1.35,Zonked(0xebf02c6e12c3ee119abba161c40bfeead0a06b15),(0xc72c599caf508ae796111e00e969e68b035fc111),2021-04-12T02:36:02.821329
,,Algobots #217,0.89,AdmiralNFT(0xdef4ed6e5aa0aea70503c91f12587a06ddc1e60f),DandelionCollects(0xe03a5189dac8182085e4adf66281f679fff2291d),2021-04-12T02:31:02.641539
,,Unigrids #97,2.66,(0x5330be5c529cd39353a41c55a53decbd488c9762),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T02:25:01.373003
,,Chromie Squiggle #3323,0.7,acc(0xa2d50deff9b7d31b6f1f85654c04c4609d08c6e2),chimaera(0x0f585d3a2f9d46433cce13e68377689a73868f75),2021-04-12T02:23:53.089053
,,Aerial View #415,0.08,NFTeddie(0xa90a1452ea66fa8912f5473ec46aaebe65e7306f),Xanta(0x392d4722c6142471b33da3c1bcaf6dcbc5d1039d),2021-04-12T02:19:41.420022
,,Chromie Squiggle #7321,0.645,koukikho(0x0f194e15f38b2277704ef8f2ac129967dff82ee6),elle123(0xe1b2aa6bd05cb957e2b56425dec7997e8c9a7e02),2021-04-12T02:17:09.085054
,,Algobots #74,0.74,JordenVee(0x119c593a56629700bcf49bf710b082d2efc6c819),Crouie(0x84dce06ea488377005cfb85900600118b4ad7695),2021-04-12T02:10:19.051982
,,Chromie Squiggle #859,0.452,0xBeth(0x29ecaa773f052d14ec5258b352ee7304f57aabc3),B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),2021-04-12T02:05:53.899288
,,Apparitions #686,0.21,GUS(0x8cc9a7baf358ad226704e0ca9cd4f4c7c7b767b9),(0x50c946cb9757d6de490099c0ec185a0dfe29974b),2021-04-12T02:03:41.785942
,,Chromie Squiggle #5626,0.65,Cosine_X(0x17100d0a90365f775710f19d3c0c27624929df1c),(0x0a6417b2d8b6cb55b1751b5a46289972d33e424c),2021-04-12T01:48:31.491064
,,Apparitions #64,0.28,CryptoHippo56(0xdb603fa3af8a964a2868e1ea16fd3ecef5a6fee6),bbbbbbbbb(0xbd23ba386baf796b6526e1670d9dddf1f7b15ebb),2021-04-12T01:44:59.771652
,,Chromie Squiggle #5202,0.649,blockstar(0xa1e4f7dc1983fefe37e2175524ebad87f1c78c3c),teyy(0xaa3654796c5a05e5311af191732945a2e616d487),2021-04-12T01:38:47.320087
,,Chromie Squiggle #8751,1.35,zonek(0x8f82bf1690710a4c422f76ba43284ff7b25512b5),bness(0x809e1e2725dbbd8d75eb1a460880932d2e1d4c1f),2021-04-12T01:25:38.266315
,,Chromie Squiggle #8846,0.95,kvothe(0xdd34966b140842d467cbcc566bd72341b6d11ab1),jukay(0xe75b05cf7f73c2808c711d38488cc8e0186d259e),2021-04-12T01:16:39.543378
,,Algobots #62,1.5,bolaand(0xb27409bc4109c3cc25a035e2f2d61e9f757e7a99),DandesBidding(0x8d92ef3344fcbe73dfd2abb92c1932c17981ed81),2021-04-12T01:09:50.216211
,,Chromie Squiggle #4165,0.648,blockstar(0xa1e4f7dc1983fefe37e2175524ebad87f1c78c3c),(0x70ad26c087ab0650b3e84cd42fb220e1c45b8f51),2021-04-12T00:55:33.953101
,,Chromie Squiggle #43,1.5,Alley(0x972e633f5f6f62d1f2a13977f113941fcb3b606b),hhesleprdllc(0x9720a202f7eac2228c9e749ae8b10908bfa47557),2021-04-12T00:55:18.760318
,,Unigrids #120,2.58,bbbbbbbbb(0xbd23ba386baf796b6526e1670d9dddf1f7b15ebb),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T00:53:17.329113
,,Chromie Squiggle #5660,0.645,blockstar(0xa1e4f7dc1983fefe37e2175524ebad87f1c78c3c),0xHouston(0xe27c5d32ff9180fcb04d095cf4ee6a4000ebe7f8),2021-04-12T00:52:05.065185
,,Unigrids #244,2.4,(0x5445092634581774a680e4dedd4ec9bfc35a26fd),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T00:48:50.262278
,,Chromie Squiggle #5574,0.645,blockstar(0xa1e4f7dc1983fefe37e2175524ebad87f1c78c3c),CyberScapes(0x084d634f80b36fd815effb38092aeb8074c28ebe),2021-04-12T00:35:13.705411
,,Unigrids #265,2.45,DepecheNode(0xa4b120fdb2fd946a67fbe996cb650dc2cd7d55f2),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-12T00:32:38.309802
,,Chromie Squiggle #6674,0.625,Squiggawhale(0x2e40e6c5a91a66728baa76c717c988f170ea61db),St2ck(0x4390b56cf36233be3079942022af6cbe453d6086),2021-04-12T00:05:08.123887
,,Inspirals #495,0.125,8892(0x88923378021bea85f9b09ce571a309e12c7d2262),NFTbroker(0xa9f9293b3486e25b740379cf5454686e3d03b2ba),2021-04-11T23:58:08.309549
,,Chromie Squiggle #833,0.65,mrstealyogirl(0xd00d1eec7502d8a5a85feeee561352068b929a98),idle(0x036eff96a00b461bf86cdfb6cf1fbee08e9e3be6),2021-04-11T23:57:52.986187
,,Synapses #118,0.123,(0xf9b7850ee758ca9878a052aeed04f24a50531ea1),yung1800yearold(0xfd41bef1fd45d7db65fb8f4cd3804e4c8daff6b9),2021-04-11T22:05:12.647183
